Cód. IBGE;Ano;Nascidos vivos
3530300;2020;757
3530409;2020;47
3530508;2020;684
3530607;2020;5.975
3530706;2020;1.801
3530805;2020;937
3530904;2020;63
3531001;2020;15
3531100;2020;752
3531209;2020;55
3531308;2020;461
3531407;2020;259
3531506;2020;202
3531605;2020;39
3531704;2020;41
3531803;2020;864
3531902;2020;350
3532009;2020;159
3532058;2020;42
3532108;2020;24
3532157;2020;37
3532207;2020;74
3532306;2020;56
3532405;2020;201
3532504;2020;86
3532603;2020;94
3532702;2020;60
3532801;2020;82
3532827;2020;126
3532843;2020;14
3532868;2020;8
3532900;2020;137
3533007;2020;241
3533106;2020;31
3533205;2020;52
3533254;2020;57
3533304;2020;19
3533403;2020;632
3533502;2020;425
3533601;2020;84
3533700;2020;58
3533809;2020;20
3533908;2020;648
3534005;2020;58
3534104;2020;69
3534203;2020;74
3534302;2020;419
3534401;2020;9.101
3534500;2020;15
3534609;2020;323
3534708;2020;1.295
3534757;2020;98
3534807;2020;98
3534906;2020;109
3535002;2020;135
3535101;2020;139
3535200;2020;94
3535309;2020;219
3535408;2020;185
3535507;2020;520
3535606;2020;201
3535705;2020;49
3535804;2020;268
3535903;2020;52
3536000;2020;98
3536109;2020;78
3536208;2020;276
3536257;2020;27
3536307;2020;173
3536406;2020;91
3536505;2020;1.428
3536570;2020;30
3536604;2020;87
3536703;2020;504
3536802;2020;73
3536901;2020;16
3537008;2020;203
3537107;2020;462
3537156;2020;31
3537206;2020;102
3537305;2020;704
3537404;2020;243
3537503;2020;101
3537602;2020;971
3537701;2020;48
3537800;2020;660
3537909;2020;384
3538006;2020;2.238
3538105;2020;145
3538204;2020;171
3538303;2020;29
3538501;2020;132
3538600;2020;312
3538709;2020;4.865
3538808;2020;359
3538907;2020;216
3539004;2020;104
3539103;2020;250
3539202;2020;268
3539301;2020;826
3539400;2020;180
3539509;2020;423
3539608;2020;60
3539707;2020;41
3539806;2020;1.470
3539905;2020;66
3540002;2020;223
3540101;2020;33
3540200;2020;530
3540259;2020;59
3540309;2020;24
3540408;2020;42
3540507;2020;88
3540606;2020;683
3540705;2020;533
3540754;2020;264
3540804;2020;210
3540853;2020;15
3540903;2020;196
3541000;2020;4.394
3541059;2020;12
3541109;2020;47
3541208;2020;116
3541307;2020;455
3541406;2020;2.620
3541505;2020;359
3541604;2020;394
3541653;2020;31
3541703;2020;164
3541802;2020;45
3541901;2020;109
3542008;2020;88
3542107;2020;125
3542206;2020;366
3542305;2020;48
3542404;2020;207
3542503;2020;58
3542602;2020;760
3542701;2020;119
3542800;2020;40
3542909;2020;129
3543006;2020;301
3543105;2020;63
3543204;2020;58
3543238;2020;14
3543253;2020;87
3543303;2020;1.233
3543402;2020;8.010
3543501;2020;83
3543600;2020;51
3543709;2020;111
3543808;2020;102
3543907;2020;2.217
3544004;2020;338
3544103;2020;560
3544202;2020;127
3544251;2020;221
3544301;2020;127
3544400;2020;38
3544509;2020;42
3544608;2020;53
3544707;2020;29
3544806;2020;57
3544905;2020;135
3545001;2020;208
3545100;2020;52
3545159;2020;88
3545209;2020;1.656
3545308;2020;499
3545407;2020;112
3545506;2020;56
3545605;2020;145
3545704;2020;68
3545803;2020;2.094
3546009;2020;148
3546108;2020;28
3546207;2020;29
3546256;2020;23
3546306;2020;353
3546405;2020;605
3546504;2020;74
3546603;2020;421
3546702;2020;332
3546801;2020;653
3546900;2020;75
3547007;2020;79
3547106;2020;30
3547205;2020;4
3547304;2020;2.188
3547403;2020;20
3547502;2020;235
3547601;2020;220
3547650;2020;19
3547700;2020;198
3547809;2020;8.505
3547908;2020;84
3548005;2020;288
3548054;2020;79
3548104;2020;52
3548203;2020;71
3548302;2020;40
3548401;2020;46
3548500;2020;4.012
3548609;2020;106
3548708;2020;9.252
3548807;2020;1.544
3548906;2020;2.986
3549003;2020;20
3549102;2020;23
3549201;2020;23
3549250;2020;21
3549300;2020;17
3549409;2020;526
3549508;2020;87
3549607;2020;42
3549706;2020;654
3549805;2020;5.489
3549904;2020;8.668
3549953;2020;194
3550001;2020;105
3550100;2020;506
3550209;2020;375
3550308;2020;145.926
3550407;2020;396
3550506;2020;80
3550605;2020;951
3550704;2020;1.164
3550803;2020;83
3550902;2020;126
3551009;2020;4.238
3551108;2020;116
3551207;2020;49
3551306;2020;35
3551405;2020;116
3551504;2020;558
3551603;2020;287
3551702;2020;1.553
3551801;2020;202
3551900;2020;187
3552007;2020;72
3552106;2020;397
3552205;2020;8.914
3552304;2020;105
3552403;2020;3.597
3552502;2020;4.327
3552551;2020;26
3552601;2020;104
3552700;2020;192
3552809;2020;3.837
3552908;2020;68
3553005;2020;200
3553104;2020;63
3553203;2020;57
3553302;2020;239
3553401;2020;294
3553500;2020;99
3553609;2020;126
3553658;2020;25
3553708;2020;558
3553807;2020;299
3553856;2020;105
3553906;2020;84
3553955;2020;184
3554003;2020;1.533
3554102;2020;3.604
3554201;2020;61
3554300;2020;303
3554409;2020;81
3554508;2020;419
3554607;2020;19
3554656;2020;18
3554706;2020;107
3554755;2020;18
3554805;2020;505
3554904;2020;73
3554953;2020;65
3555000;2020;640
3555109;2020;137
3555208;2020;17
3555307;2020;22
3555356;2020;85
3555406;2020;1.352
3555505;2020;70
3555604;2020;102
3555703;2020;20
3555802;2020;84
3555901;2020;15
3556008;2020;127
3556107;2020;179
3556206;2020;1.260
3556305;2020;288
3556354;2020;113
3556404;2020;488
3556453;2020;701
3556503;2020;1.221
3556602;2020;113
3556701;2020;875
3556800;2020;211
3556909;2020;105
3556958;2020;15
3557006;2020;1.595
3557105;2020;1.061
3557154;2020;25
3557204;2020;139
3557303;2020;130
3500000;2019;275
3500105;2019;410
3500204;2019;41
3500303;2019;416
3500402;2019;42
3500501;2019;236
3500550;2019;48
3500600;2019;21
3500709;2019;524
3500758;2019;82
3500808;2019;45
3500907;2019;41
3501004;2019;188
3501103;2019;32
3501152;2019;238
3501202;2019;35
3501301;2019;321
3501400;2019;55
3501509;2019;43
3501608;2019;2.663
3501707;2019;469
3501806;2019;61
3501905;2019;815
3502002;2019;42
3502101;2019;659
3502200;2019;306
3502309;2019;84
3502408;2019;49
3502507;2019;438
3502606;2019;36
3502705;2019;326
3502754;2019;387
3502804;2019;2.381
3502903;2019;373
3503000;2019;64
3503109;2019;97
3503158;2019;13
3503208;2019;2.600
3503307;2019;1.541
3503356;2019;16
3503406;2019;80
3503505;2019;49
3503604;2019;126
3503703;2019;87
3503802;2019;619
3503901;2019;1.369
3503950;2019;19
3504008;2019;1.164
3504107;2019;2.097
3504206;2019;153
3504305;2019;59
3504404;2019;129
3504503;2019;1.167
3504602;2019;294
3504701;2019;9
3504800;2019;95
3504909;2019;69
3505005;2019;32
3505104;2019;83
3505203;2019;408
3505302;2019;297
3505351;2019;79
3505401;2019;80
3505500;2019;1.421
3505609;2019;448
3505708;2019;5.682
3505807;2019;293
3505906;2019;746
3506003;2019;4.576
3506102;2019;916
3506201;2019;34
3506300;2019;147
3506359;2019;973
3506409;2019;80
3506508;2019;1.387
3506607;2019;421
3506706;2019;159
3506805;2019;126
3506904;2019;113
3507001;2019;748
3507100;2019;323
3507159;2019;67
3507209;2019;14
3507308;2019;62
3507407;2019;143
3507456;2019;25
3507506;2019;1.719
3507605;2019;2.094
3507704;2019;65
3507753;2019;28
3507803;2019;305
3507902;2019;288
3508009;2019;324
3508108;2019;200
3508207;2019;52
3508306;2019;53
3508405;2019;698
3508504;2019;1.223
3508603;2019;378
3508702;2019;196
3508801;2019;237
3508900;2019;42
3509007;2019;1.278
3509106;2019;40
3509205;2019;1.268
3509254;2019;432
3509304;2019;110
3509403;2019;310
3509452;2019;68
3509502;2019;14.627
3509601;2019;947
3509700;2019;723
3509809;2019;65
3509908;2019;174
3509957;2019;78
3510005;2019;356
3510104;2019;25
3510153;2019;77
3510203;2019;580
3510302;2019;248
3510401;2019;686
3510500;2019;1.715
3510609;2019;6.473
3510708;2019;109
3510807;2019;298
3510906;2019;18
3511003;2019;248
3511102;2019;1.327
3511201;2019;62
3511300;2019;112
3511409;2019;277
3511508;2019;530
3511607;2019;235
3511706;2019;178
3511904;2019;101
3512001;2019;200
3512100;2019;90
3512209;2019;458
3512308;2019;206
3512407;2019;308
3512506;2019;51
3512605;2019;52
3512704;2019;63
3512803;2019;648
3512902;2019;85
3513009;2019;4.108
3513108;2019;393
3513207;2019;120
3513306;2019;14
3513405;2019;912
3513504;2019;1.493
3513603;2019;266
3513702;2019;335
3513801;2019;5.389
3513850;2019;14
3513900;2019;135
3514007;2019;92
3514106;2019;325
3514205;2019;26
3514304;2019;88
3514403;2019;494
3514502;2019;150
3514601;2019;111
3514700;2019;79
3514809;2019;183
3514908;2019;211
3514924;2019;36
3514957;2019;24
3515004;2019;3.959
3515103;2019;837
3515129;2019;37
3515152;2019;278
3515186;2019;432
3515194;2019;79
3515202;2019;91
3515301;2019;42
3515350;2019;103
3515400;2019;221
3515509;2019;743
3515608;2019;53
3515657;2019;15
3515707;2019;2.694
3515806;2019;13
3515905;2019;14
3516002;2019;112
3516101;2019;31
3516200;2019;4.585
3516309;2019;2.790
3516408;2019;2.125
3516507;2019;23
3516606;2019;65
3516705;2019;514
3516804;2019;34
3516853;2019;79
3516903;2019;91
3517000;2019;91
3517109;2019;51
3517208;2019;131
3517307;2019;71
3517406;2019;483
3517505;2019;238
3517604;2019;249
3517703;2019;223
3517802;2019;75
3517901;2019;118
3518008;2019;22
3518107;2019;68
3518206;2019;368
3518305;2019;432
3518404;2019;1.563
3518503;2019;156
3518602;2019;471
3518701;2019;4.178
3518800;2019;20.249
3518859;2019;103
3518909;2019;50
3519006;2019;121
3519055;2019;175
3519071;2019;2.967
3519105;2019;141
3519204;2019;60
3519253;2019;79
3519303;2019;467
3519402;2019;140
3519501;2019;60
3519600;2019;751
3519709;2019;1.103
3519808;2019;86
3519907;2019;76
3520004;2019;295
3520103;2019;300
3520202;2019;143
3520301;2019;328
3520400;2019;542
3520426;2019;156
3520442;2019;250
3520509;2019;3.197
3520608;2019;59
3520707;2019;34
3520806;2019;23
3520905;2019;184
3521002;2019;371
3521101;2019;88
3521150;2019;78
3521200;2019;44
3521309;2019;179
3521408;2019;267
3521507;2019;79
3521606;2019;65
3521705;2019;264
3521804;2019;326
3521903;2019;231
3522000;2019;37
3522109;2019;1.320
3522158;2019;41
3522208;2019;2.504
3522307;2019;2.096
3522406;2019;1.435
3522505;2019;3.940
3522604;2019;802
3522653;2019;74
3522703;2019;474
3522802;2019;175
3522901;2019;8
3523008;2019;51
3523107;2019;5.816
3523206;2019;618
3523305;2019;150
3523404;2019;1.409
3523503;2019;272
3523602;2019;158
3523701;2019;73
3523800;2019;83
3523909;2019;2.222
3524006;2019;854
3524105;2019;452
3524204;2019;64
3524303;2019;768
3524402;2019;2.850
3524501;2019;95
3524600;2019;228
3524709;2019;789
3524808;2019;522
3524907;2019;70
3525003;2019;1.616
3525102;2019;591
3525201;2019;509
3525300;2019;1.516
3525409;2019;31
3525508;2019;156
3525607;2019;48
3525706;2019;449
3525805;2019;63
3525854;2019;38
3525904;2019;6.189
3526001;2019;223
3526100;2019;278
3526209;2019;451
3526308;2019;61
3526407;2019;360
3526506;2019;47
3526605;2019;90
3526704;2019;1.200
3526803;2019;792
3526902;2019;3.472
3527009;2019;87
3527108;2019;908
3527207;2019;1.088
3527256;2019;14
3527306;2019;795
3527405;2019;203
3527504;2019;24
3527603;2019;151
3527702;2019;57
3527801;2019;45
3527900;2019;38
3528007;2019;213
3528106;2019;85
3528205;2019;37
3528304;2019;27
3528403;2019;694
3528502;2019;1.031
3528601;2019;115
3528700;2019;39
3528809;2019;146
3528858;2019;31
3528908;2019;42
3529005;2019;3.048
3529104;2019;14
3529203;2019;300
3529302;2019;944
3529401;2019;5.130
3529500;2019;76
3529609;2019;35
3529658;2019;31
3529708;2019;228
3529807;2019;154
3529906;2019;307
3530003;2019;28
3530102;2019;240
3530201;2019;170
3530300;2019;719
3530409;2019;59
3530508;2019;750
3530607;2019;6.332
3530706;2019;1.913
3530805;2019;1.033
3530904;2019;52
3531001;2019;24
3531100;2019;717
3531209;2019;77
3531308;2019;567
3531407;2019;236
3531506;2019;213
3531605;2019;57
3531704;2019;36
3531803;2019;971
3531902;2019;381
3532009;2019;161
3532058;2019;56
3532108;2019;27
3532157;2019;38
3532207;2019;80
3532306;2019;55
3532405;2019;213
3532504;2019;88
3532603;2019;72
3532702;2019;59
3532801;2019;87
3532827;2019;142
3532843;2019;17
3532868;2019;5
3532900;2019;113
3533007;2019;242
3533106;2019;26
3533205;2019;61
3533254;2019;55
3533304;2019;24
3533403;2019;690
3533502;2019;483
3533601;2019;37
3533700;2019;72
3533809;2019;25
3533908;2019;692
3534005;2019;67
3534104;2019;68
3534203;2019;75
3534302;2019;463
3534401;2019;9.468
3534500;2019;19
3534609;2019;300
3534708;2019;1.272
3534757;2019;151
3534807;2019;102
3534906;2019;105
3535002;2019;117
3535101;2019;103
3535200;2019;61
3535309;2019;226
3535408;2019;186
3535507;2019;486
3535606;2019;177
3535705;2019;64
3535804;2019;261
3535903;2019;50
3536000;2019;99
3536109;2019;96
3536208;2019;269
3536257;2019;30
3536307;2019;189
3536406;2019;108
3536505;2019;1.521
3536570;2019;23
3536604;2019;75
3536703;2019;546
3536802;2019;77
3536901;2019;19
3537008;2019;208
3537107;2019;501
3537156;2019;32
3537206;2019;76
3537305;2019;749
3537404;2019;276
3537503;2019;100
3537602;2019;950
3537701;2019;60
3537800;2019;684
3537909;2019;413
3538006;2019;2.233
3538105;2019;129
3538204;2019;166
3538303;2019;28
3538501;2019;131
3538600;2019;329
3538709;2019;4.886
3538808;2019;352
3538907;2019;258
3539004;2019;135
3539103;2019;265
3539202;2019;328
3539301;2019;863
3539400;2019;168
3539509;2019;468
3539608;2019;54
3539707;2019;37
3539806;2019;1.572
3539905;2019;65
3540002;2019;224
3540101;2019;29
3540200;2019;527
3540259;2019;51
3540309;2019;35
3540408;2019;47
3540507;2019;95
3540606;2019;696
3540705;2019;550
3540754;2019;231
3540804;2019;228
3540853;2019;8
3540903;2019;215
3541000;2019;4.223
3541059;2019;76
3541109;2019;38
3541208;2019;115
3541307;2019;450
3541406;2019;2.763
3541505;2019;348
3541604;2019;423
3541653;2019;42
3541703;2019;186
3541802;2019;48
3541901;2019;113
3542008;2019;89
3542107;2019;121
3542206;2019;362
3542305;2019;51
3542404;2019;221
3542503;2019;56
3542602;2019;865
3542701;2019;92
3542800;2019;40
3542909;2019;158
3543006;2019;318
3543105;2019;84
3543204;2019;54
3543238;2019;20
3543253;2019;99
3543303;2019;1.362
3543402;2019;8.151
3543501;2019;84
3543600;2019;56
3543709;2019;106
3543808;2019;96
3543907;2019;2.488
3544004;2019;414
3544103;2019;544
3544202;2019;117
3544251;2019;197
3544301;2019;154
3544400;2019;24
3544509;2019;27
3544608;2019;56
3544707;2019;27
3544806;2019;55
3544905;2019;119
3545001;2019;215
3545100;2019;76
3545159;2019;96
3545209;2019;1.674
3545308;2019;504
3545407;2019;92
3545506;2019;49
3545605;2019;151
3545704;2019;81
3545803;2019;2.163
3546009;2019;152
3546108;2019;30
3546207;2019;24
3546256;2019;15
3546306;2019;363
3546405;2019;605
3546504;2019;68
3546603;2019;423
3546702;2019;325
3546801;2019;725
3546900;2019;84
3547007;2019;77
3547106;2019;29
3547205;2019;8
3547304;2019;2.284
3547403;2019;28
3547502;2019;226
3547601;2019;244
3547650;2019;16
3547700;2019;194
3547809;2019;8.956
3547908;2019;79
3548005;2019;284
3548054;2019;110
3548104;2019;45
3548203;2019;78
3548302;2019;31
3548401;2019;32
3548500;2019;4.393
3548609;2019;110
3548708;2019;9.891
3548807;2019;1.647
3548906;2019;2.938
3549003;2019;22
3549102;2019;25
3549201;2019;33
3549250;2019;20
3549300;2019;31
3549409;2019;547
3549508;2019;95
3549607;2019;39
3549706;2019;655
3549805;2019;5.607
3549904;2019;9.090
3549953;2019;191
3550001;2019;99
3550100;2019;436
3550209;2019;414
3550308;2019;158.391
3550407;2019;410
3550506;2019;95
3550605;2019;1.055
3550704;2019;1.164
3550803;2019;105
3550902;2019;141
3551009;2019;4.279
3551108;2019;112
3551207;2019;50
3551306;2019;36
3551405;2019;110
3551504;2019;614
3551603;2019;292
3551702;2019;1.597
3551801;2019;200
3551900;2019;219
3552007;2019;75
3552106;2019;458
3552205;2019;8.921
3552304;2019;89
3552403;2019;3.861
3552502;2019;4.375
3552551;2019;29
3552601;2019;114
3552700;2019;201
3552809;2019;4.010
3552908;2019;78
3553005;2019;201
3553104;2019;73
3553203;2019;50
3553302;2019;285
3553401;2019;240
3553500;2019;100
3553609;2019;108
3553658;2019;27
3553708;2019;564
3553807;2019;332
3553856;2019;118
3553906;2019;87
3553955;2019;193
3554003;2019;1.585
3554102;2019;3.866
3554201;2019;70
3554300;2019;318
3554409;2019;95
3554508;2019;482
3554607;2019;20
3554656;2019;28
3554706;2019;99
3554755;2019;27
3554805;2019;580
3554904;2019;69
3554953;2019;61
3555000;2019;692
3555109;2019;128
3555208;2019;15
3555307;2019;11
3555356;2019;87
3555406;2019;1.322
3555505;2019;67
3555604;2019;110
3555703;2019;23
3555802;2019;82
3555901;2019;12
3556008;2019;121
3556107;2019;172
3556206;2019;1.360
3556305;2019;276
3556354;2019;101
3556404;2019;523
3556453;2019;813
3556503;2019;1.366
3556602;2019;112
3556701;2019;929
3556800;2019;184
3556909;2019;118
3556958;2019;21
3557006;2019;1.604
3557105;2019;1.155
3557154;2019;26
3557204;2019;153
3557303;2019;146
3500000;2018;231
3500105;2018;380
3500204;2018;46
3500303;2018;456
3500402;2018;91
3500501;2018;192
3500550;2018;55
3500600;2018;27
3500709;2018;530
3500758;2018;68
3500808;2018;59
3500907;2018;39
3501004;2018;185
3501103;2018;34
3501152;2018;206
3501202;2018;28
3501301;2018;316
3501400;2018;39
3501509;2018;52
3501608;2018;2.706
3501707;2018;448
3501806;2018;64
3501905;2018;829
3502002;2018;45
3502101;2018;726
3502200;2018;338
3502309;2018;89
3502408;2018;56
3502507;2018;435
3502606;2018;49
3502705;2018;352
3502754;2018;378
3502804;2018;2.388
3502903;2018;369
3503000;2018;64
3503109;2018;88
3503158;2018;19
3503208;2018;2.812
3503307;2018;1.567
3503356;2018;22
3503406;2018;69
3503505;2018;49
3503604;2018;151
3503703;2018;85
3503802;2018;683
3503901;2018;1.365
3503950;2018;17
3504008;2018;1.202
3504107;2018;2.132
3504206;2018;142
3504305;2018;60
3504404;2018;148
3504503;2018;1.335
3504602;2018;269
3504701;2018;16
3504800;2018;81
3504909;2018;99
3505005;2018;45
3505104;2018;98
3505203;2018;414
3505302;2018;349
3505351;2018;86
3505401;2018;81
3505500;2018;1.523
3505609;2018;496
3505708;2018;5.690
3505807;2018;295
3505906;2018;744
3506003;2018;4.687
3506102;2018;934
3506201;2018;24
3506300;2018;137
3506359;2018;1.043
3506409;2018;77
3506508;2018;1.501
3506607;2018;394
3506706;2018;164
3506805;2018;156
3506904;2018;145
3507001;2018;843
3507100;2018;331
3507159;2018;54
3507209;2018;15
3507308;2018;57
3507407;2018;148
3507456;2018;33
3507506;2018;1.832
3507605;2018;2.238
3507704;2018;84
3507753;2018;23
3507803;2018;325
3507902;2018;336
3508009;2018;321
3508108;2018;201
3508207;2018;48
3508306;2018;52
3508405;2018;741
3508504;2018;1.314
3508603;2018;438
3508702;2018;219
3508801;2018;230
3508900;2018;40
3509007;2018;1.358
3509106;2018;49
3509205;2018;1.336
3509254;2018;475
3509304;2018;93
3509403;2018;339
3509452;2018;93
3509502;2018;15.132
3509601;2018;1.005
3509700;2018;756
3509809;2018;59
3509908;2018;186
3509957;2018;83
3510005;2018;341
3510104;2018;29
3510153;2018;67
3510203;2018;652
3510302;2018;320
3510401;2018;684
3510500;2018;1.838
3510609;2018;6.925
3510708;2018;116
3510807;2018;316
3510906;2018;20
3511003;2018;232
3511102;2018;1.343
3511201;2018;76
3511300;2018;113
3511409;2018;269
3511508;2018;518
3511607;2018;263
3511706;2018;229
3511904;2018;114
3512001;2018;225
3512100;2018;105
3512209;2018;503
3512308;2018;214
3512407;2018;310
3512506;2018;54
3512605;2018;42
3512704;2018;48
3512803;2018;753
3512902;2018;97
3513009;2018;4.147
3513108;2018;408
3513207;2018;106
3513306;2018;26
3513405;2018;920
3513504;2018;1.621
3513603;2018;245
3513702;2018;372
3513801;2018;5.577
3513850;2018;13
3513900;2018;129
3514007;2018;96
3514106;2018;345
3514205;2018;16
3514304;2018;86
3514403;2018;508
3514502;2018;135
3514601;2018;132
3514700;2018;95
3514809;2018;239
3514908;2018;233
3514924;2018;34
3514957;2018;24
3515004;2018;4.247
3515103;2018;993
3515129;2018;34
3515152;2018;297
3515186;2018;467
3515194;2018;62
3515202;2018;83
3515301;2018;29
3515350;2018;117
3515400;2018;209
3515509;2018;792
3515608;2018;57
3515657;2018;23
3515707;2018;2.748
3515806;2018;11
3515905;2018;28
3516002;2018;95
3516101;2018;19
3516200;2018;4.939
3516309;2018;2.840
3516408;2018;2.181
3516507;2018;37
3516606;2018;85
3516705;2018;519
3516804;2018;33
3516853;2018;60
3516903;2018;120
3517000;2018;96
3517109;2018;54
3517208;2018;142
3517307;2018;53
3517406;2018;452
3517505;2018;253
3517604;2018;263
3517703;2018;241
3517802;2018;76
3517901;2018;115
3518008;2018;24
3518107;2018;87
3518206;2018;351
3518305;2018;424
3518404;2018;1.472
